Games played,States found,Time taken
10000,204574,7.13
20000,408860,14.4
30000,612155,21.79
40000,815927,29.45
50000,1020901,36.96
60000,1224545,46.18
70000,1429661,54.54
80000,1632808,62.23
90000,1837608,70.04
100000,2042272,78.32
110000,2246208,88.41
120000,2450755,96.38
130000,2654911,104.18
140000,2859062,112.12
150000,3063339,119.98
160000,3265631,128.2
170000,3468783,138.16
180000,3672741,146.96
190000,3876039,156.68
200000,4078984,169.35
210000,4283015,179.11
220000,4487049,186.74
230000,4690545,194.93
240000,4895262,204.49
250000,5098474,212.66
260000,5301955,221.47
270000,5506724,235.51
280000,5710251,245.17
290000,5914069,255.4
300000,6118169,264.78
310000,6322538,275.15
320000,6528037,286.11
330000,6731361,298.24
340000,6933987,308.29
350000,7136363,318.1
360000,7340258,331.45
370000,7544082,341.86
380000,7749663,355.44
390000,7952757,366.93
400000,8155380,374.28
410000,8358231,386.46
420000,8561876,394.03
430000,8766662,401.66
440000,8970318,413.23
450000,9173208,420.82
460000,9377893,428.36
470000,9581017,436.08
480000,9785102,449.26
490000,9990758,457.17
500000,10193586,466.17
510000,10396866,474.32
520000,10601088,487.9
530000,10804331,497.02
540000,11008108,506.38
550000,11210884,519.92
560000,11412806,529.47
570000,11615404,539.32
580000,11817932,548.84
590000,12020882,558.53
600000,12226606,568.34
610000,12430794,584.58
620000,12634510,594.61
630000,12837895,604.67
640000,13040596,616.02
650000,13243118,631.41
660000,13445321,644.27
670000,13650022,657.26
680000,13853853,676.02
690000,14057458,688.58
700000,14259875,700.25
710000,14464221,718.97
720000,14666806,729.48
730000,14871401,748.92
740000,15076827,759.72
750000,15280380,776.77
760000,15484200,787.34
770000,15689107,805.6
780000,15894391,820.36
790000,16098264,841.09
800000,16302296,850.49
810000,16504880,866.21
820000,16708583,878.01
830000,16912678,902.92
840000,17118592,912.91
850000,17322682,931.22
860000,17527060,941.14
870000,17732560,959.71
880000,17936197,967.63
890000,18139491,988.04
900000,18343678,998.7
910000,18547547,1018.42
920000,18750478,1028.42
930000,18954551,1047.97
940000,19158322,1057.95
950000,19361434,1077.93
960000,19564163,1087.89
970000,19768170,1109.28
980000,19973400,1120.62
990000,20177849,1142.01
1000000,10926616,1425.37
